Cracker Roll: [4, 1] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11] | [2, 12]

Sender Roll:  [None] | [2, 6, 7, 8, 12] | [11] | [9, 3, 10, 4, 5]
Cracker Roll: [2, 5] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11] | [2, 12]

Sender Roll:  [1, 6] | [2, 6, 7, 8, 12] | [11] | [9, 3, 10, 4, 5]
Cracker Roll: [5, 4] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11] | [2, 12]

Sender Roll:  [4, 6] | [2, 6, 7, 8, 12] | [11] | [9, 3, 10, 4, 5]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11] | [2, 12]

Sender Roll:  [5, 3] | [2, 6, 7, 12] | [11, 8] | [9, 3, 10, 4, 5]
Cracker Roll: [3, 6] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11] | [2, 12]

Sender Roll:  [6, 6] | [2, 6, 7] | [11, 8, 12] | [9, 3, 10, 4, 5]
Cracker Roll: [1, 4] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11] | [2, 12]

Sender Roll:  [5, 4] | [2, 6, 7] | [11, 8, 12] | [9, 3, 10, 4, 5]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11] | [2, 12]

Sender Roll:  [1, 3] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [3, 5] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11] | [2, 12]

Sender Roll:  [None] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [2, 5] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11] | [2, 12]

Sender Roll:  [1, 6] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [6, 1] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11] | [2, 12]

Sender Roll:  [None] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11] | [2, 12]

Sender Roll:  [5, 3] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [6, 4] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11] | [2, 12]

Sender Roll:  [4, 6] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [4, 2] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11] | [2, 12]

Sender Roll:  [3, 3] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [2, 5] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11, 2] | [12]

Sender Roll:  [None] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11, 2] | [12]

Sender Roll:  [2, 5] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [6, 3] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11, 2] | [12]

Sender Roll:  [4, 3] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [1, 5] | [] | [3, 4, 5, 6, 7, 8, 9, 10, 11, 2] | [12]

Sender Roll:  [None] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [2, 2] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 2] | [12, 7]

Sender Roll:  [None] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [3, 1] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 2] | [12, 7]

Sender Roll:  [5, 5] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [6, 6] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [None] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [6, 4] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [4, 1] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [3, 1] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [4, 5] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [5, 4] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [1, 6] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [None] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [3, 4] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [5, 4] | [2, 6, 7] | [11, 12] | [9, 3, 10, 4, 5, 8]
Cracker Roll: [1, 3] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [1, 5] | [2, 7] | [11, 12] | [9, 3, 10, 4, 5, 8, 6]
Cracker Roll: [4, 2] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [3, 5] | [2, 7] | [11, 12] | [9, 3, 10, 4, 5, 8, 6]
Cracker Roll: [6, 4] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [6, 3] | [2, 7] | [11, 12] | [9, 3, 10, 4, 5, 8, 6]
Cracker Roll: [2, 1] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [1, 6] | [2] | [11, 12] | [9, 3, 10, 4, 5, 8, 6, 7]
Cracker Roll: [3, 4] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [5, 5] | [2] | [11, 12] | [9, 3, 10, 4, 5, 8, 6, 7]
Cracker Roll: [4, 1] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12, 2] | [7]

Sender Roll:  [2, 6] | [2] | [11, 12] | [9, 3, 10, 4, 5, 8, 6, 7]
Cracker Roll: [6, 1] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12, 2] | [7]

Sender Roll:  [None] | [2] | [11, 12] | [9, 3, 10, 4, 5, 8, 6, 7]
Cracker Roll: [4, 4] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [4, 5] | [2] | [11, 12] | [9, 3, 10, 4, 5, 8, 6, 7]
Cracker Roll: [2, 3] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [3, 5] | [2] | [11, 12] | [9, 3, 10, 4, 5, 8, 6, 7]
Cracker Roll: [6, 2] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [3, 4] | [2] | [11, 12] | [9, 3, 10, 4, 5, 8, 6, 7]
Cracker Roll: [4, 3] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [4, 4] | [2] | [11, 12] | [9, 3, 10, 4, 5, 8, 6, 7]
Cracker Roll: [5, 1] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12, 2] | [7]

Sender Roll:  [4, 2] | [2] | [11, 12] | [9, 3, 10, 4, 5, 8, 6, 7]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12, 2] | [7]

Sender Roll:  [None] | [2] | [12] | [9, 3, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [5, 6] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12, 2] | [7]

Sender Roll:  [3, 6] | [2] | [12] | [9, 3, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [5, 1] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12, 2] | [7]

Sender Roll:  [5, 6] | [2] | [12] | [9, 3, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [6, 5] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12, 2] | [7]

Sender Roll:  [None] | [2] | [12] | [9, 3, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [6, 3] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12, 2] | [7]

Sender Roll:  [5, 4] | [2] | [12] | [9, 3, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [3, 2] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12, 2] | [7]

Sender Roll:  [4, 3] | [2] | [12] | [9, 3, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [5, 6] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12, 2] | [7]

Sender Roll:  [2, 2] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [4, 2] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12, 2] | [7]

Sender Roll:  [6, 2] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [3, 3] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [5, 2] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [3, 5] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [5, 5] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [2, 2] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [4, 3] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 12] | [7, 2]

Sender Roll:  [None] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [2, 2] | [] | [3, 4, 5, 6, 8, 9, 10, 11] | [7, 2, 12]

Sender Roll:  [5, 2] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 8, 9, 10, 11] | [7, 2, 12]

Sender Roll:  [2, 5] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 8, 9, 10, 11] | [7, 2, 12]

Sender Roll:  [6, 6] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [4, 5] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 2] | [7, 12]

Sender Roll:  [3, 2] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 8, 9, 10, 11, 2] | [7, 12]

Sender Roll:  [4, 6] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [1, 1] | [] | [3, 4, 5, 6, 8, 9, 10, 11] | [7, 12, 2]

Sender Roll:  [1, 3] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [4, 3] | [] | [3, 4, 5, 6, 8, 9, 10, 11] | [7, 12, 2]

Sender Roll:  [3, 4] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 8, 9, 10, 11] | [7, 12, 2]

Sender Roll:  [5, 6] | [2] | [12, 3] | [9, 10, 4, 5, 8, 6, 7, 11]
Cracker Roll: [None] | [] | [3, 4, 5, 6, 8, 9, 10, 11] | [7, 12, 2]

