# Sample Size: 10000
# Sender wins: 4966 | Cracker wins: 5034
# Sender Average | Rolls: 48.7417 | Sent Encrypted 10.1429 | Removed Token 1.2219
# Cracker Average | Rolls: 48.6816 | Get Encrypted 7.7677 | Get Cracked 8.1126
#
[Round, Winner, Sender(Rolls, SendEncr, RemoveDat), Cracker(Rolls, GetEncr, GetCrac)]
[263, 'Sender', (45, 11, 2), (37, 8, 6)]
[264, 'Cracker', (39, 9, 0), (41, 7, 8)]
[265, 'Sender', (37, 11, 0), (41, 6, 8)]
[266, 'Cracker', (43, 10, 0), (51, 7, 11)]
[267, 'Cracker', (21, 9, 0), (24, 3, 9)]
[268, 'Cracker', (82, 10, 3), (73, 11, 10)]
[269, 'Sender', (57, 11, 1), (56, 8, 9)]
[270, 'Sender', (35, 11, 0), (32, 6, 7)]
[271, 'Cracker', (41, 9, 0), (40, 6, 7)]
[272, 'Sender', (55, 11, 2), (48, 9, 8)]
[273, 'Sender', (68, 11, 1), (65, 9, 8)]
[274, 'Sender', (48, 11, 2), (46, 5, 6)]
[275, 'Cracker', (55, 10, 2), (56, 10, 12)]
[276, 'Cracker', (66, 10, 3), (67, 11, 9)]
[277, 'Cracker', (24, 10, 0), (28, 5, 7)]
[278, 'Cracker', (33, 8, 0), (41, 6, 8)]
[279, 'Cracker', (46, 9, 0), (49, 6, 10)]
[280, 'Cracker', (28, 8, 0), (35, 5, 8)]
[281, 'Cracker', (55, 9, 2), (51, 9, 9)]
[282, 'Sender', (53, 11, 0), (49, 8, 5)]
[283, 'Sender', (42, 11, 1), (39, 6, 2)]
[284, 'Cracker', (35, 9, 0), (31, 6, 7)]
[285, 'Sender', (60, 11, 7), (52, 11, 6)]
[286, 'Sender', (32, 11, 0), (35, 5, 8)]
[287, 'Cracker', (53, 10, 2), (50, 11, 10)]
[288, 'Cracker', (34, 8, 1), (31, 6, 9)]
[289, 'Cracker', (42, 9, 3), (41, 10, 5)]
[290, 'Cracker', (78, 9, 5), (84, 12, 12)]
[291, 'Cracker', (32, 7, 0), (36, 5, 7)]
[292, 'Sender', (51, 11, 2), (48, 6, 4)]
[293, 'Sender', (40, 11, 0), (42, 7, 8)]
[294, 'Cracker', (52, 10, 3), (58, 10, 8)]
[295, 'Sender', (65, 11, 4), (63, 11, 10)]
[296, 'Sender', (51, 11, 3), (51, 10, 7)]
[297, 'Sender', (35, 11, 1), (39, 7, 7)]
[298, 'Sender', (42, 11, 1), (45, 8, 8)]
[299, 'Cracker', (41, 10, 1), (36, 10, 6)]
[300, 'Sender', (50, 11, 2), (50, 9, 6)]
[301, 'Cracker', (43, 10, 2), (48, 9, 11)]
[302, 'Sender', (45, 11, 0), (44, 7, 7)]
[303, 'Sender', (61, 11, 0), (55, 8, 12)]
[304, 'Cracker', (46, 9, 2), (45, 8, 11)]
[305, 'Cracker', (46, 10, 2), (47, 9, 6)]
[306, 'Sender', (52, 11, 2), (44, 8, 8)]
[307, 'Cracker', (48, 10, 0), (48, 7, 7)]
[308, 'Cracker', (44, 8, 0), (45, 6, 8)]
[309, 'Cracker', (32, 10, 0), (39, 6, 8)]
[310, 'Cracker', (58, 10, 4), (58, 11, 10)]
[311, 'Cracker', (106, 10, 2), (96, 10, 14)]
[312, 'Cracker', (34, 8, 0), (35, 5, 8)]
[313, 'Sender', (64, 11, 9), (53, 13, 5)]
[314, 'Cracker', (68, 10, 0), (70, 9, 15)]
[315, 'Sender', (63, 11, 2), (59, 9, 9)]
[316, 'Cracker', (80, 9, 2), (77, 8, 11)]
[317, 'Cracker', (59, 10, 0), (61, 6, 13)]
[318, 'Cracker', (16, 8, 0), (19, 3, 9)]
[319, 'Sender', (39, 11, 0), (46, 7, 11)]
[320, 'Cracker', (59, 10, 0), (65, 8, 15)]
[321, 'Sender', (47, 11, 2), (49, 8, 5)]
[322, 'Cracker', (45, 10, 0), (54, 6, 9)]
[323, 'Cracker', (68, 10, 5), (65, 14, 12)]
[324, 'Sender', (34, 11, 1), (34, 6, 5)]
[325, 'Sender', (53, 11, 0), (43, 7, 7)]
[326, 'Sender', (46, 11, 0), (48, 7, 4)]
[327, 'Sender', (40, 11, 1), (43, 7, 8)]
[328, 'Cracker', (60, 10, 2), (64, 10, 9)]
[329, 'Sender', (45, 11, 0), (50, 7, 9)]
[330, 'Cracker', (23, 5, 0), (27, 3, 10)]
[331, 'Sender', (47, 11, 1), (40, 7, 4)]
[332, 'Cracker', (45, 10, 1), (56, 10, 10)]
[333, 'Sender', (60, 11, 1), (61, 8, 10)]
[334, 'Cracker', (26, 8, 0), (26, 5, 7)]
[335, 'Sender', (22, 11, 0), (26, 6, 3)]
[336, 'Cracker', (55, 9, 2), (49, 9, 11)]
[337, 'Sender', (33, 11, 0), (39, 6, 8)]
[338, 'Sender', (76, 11, 4), (72, 12, 9)]
[339, 'Sender', (36, 11, 0), (37, 7, 7)]
[340, 'Sender', (83, 11, 1), (74, 8, 11)]
[341, 'Sender', (25, 11, 0), (24, 4, 4)]
[342, 'Cracker', (66, 10, 4), (64, 11, 9)]
[343, 'Cracker', (34, 9, 1), (34, 7, 8)]
[344, 'Cracker', (40, 8, 0), (39, 6, 12)]
[345, 'Sender', (75, 11, 6), (65, 14, 7)]
[346, 'Sender', (47, 11, 1), (46, 7, 6)]
[347, 'Sender', (29, 11, 0), (36, 8, 4)]
[348, 'Sender', (80, 11, 5), (86, 12, 11)]
[349, 'Cracker', (50, 9, 3), (55, 9, 9)]
[350, 'Cracker', (40, 10, 0), (41, 9, 7)]
[351, 'Cracker', (56, 9, 4), (55, 11, 5)]
[352, 'Cracker', (52, 9, 1), (56, 9, 13)]
[353, 'Cracker', (34, 9, 0), (34, 5, 8)]
[354, 'Cracker', (112, 10, 2), (111, 10, 16)]
[355, 'Cracker', (35, 8, 0), (35, 5, 8)]
[356, 'Cracker', (47, 10, 1), (47, 8, 6)]
[357, 'Cracker', (35, 10, 1), (36, 8, 4)]
[358, 'Sender', (60, 11, 1), (61, 9, 8)]
[359, 'Cracker', (44, 8, 1), (47, 7, 10)]
[360, 'Sender', (46, 11, 1), (47, 5, 7)]
[361, 'Sender', (39, 11, 1), (42, 7, 5)]
[362, 'Sender', (40, 11, 1), (32, 7, 3)]
[363, 'Sender', (58, 11, 0), (54, 7, 11)]
[364, 'Cracker', (48, 9, 0), (50, 6, 9)]
[365, 'Cracker', (67, 9, 0), (64, 8, 13)]
[366, 'Sender', (47, 11, 3), (40, 8, 7)]
[367, 'Cracker', (34, 9, 0), (35, 6, 7)]
[368, 'Cracker', (45, 8, 0), (49, 7, 7)]
[369, 'Cracker', (41, 8, 0), (51, 7, 9)]
[370, 'Sender', (63, 11, 2), (67, 8, 7)]
[371, 'Cracker', (56, 10, 0), (56, 9, 9)]
[372, 'Sender', (47, 11, 0), (50, 6, 10)]
[373, 'Cracker', (23, 9, 0), (22, 7, 6)]
[374, 'Cracker', (42, 8, 1), (43, 7, 6)]
[375, 'Sender', (46, 11, 1), (40, 7, 8)]
[376, 'Sender', (75, 11, 2), (72, 8, 9)]
[377, 'Sender', (35, 11, 0), (42, 8, 5)]
[378, 'Sender', (35, 11, 0), (35, 8, 5)]
[379, 'Cracker', (38, 8, 0), (37, 6, 9)]
[380, 'Cracker', (105, 10, 2), (101, 8, 19)]
[381, 'Sender', (36, 11, 0), (37, 8, 3)]
[382, 'Cracker', (61, 10, 0), (62, 8, 12)]
[383, 'Cracker', (30, 9, 0), (30, 8, 5)]
[384, 'Cracker', (34, 10, 0), (32, 8, 6)]
[385, 'Cracker', (31, 8, 0), (34, 6, 8)]
[386, 'Cracker', (45, 10, 0), (50, 8, 9)]
[387, 'Cracker', (40, 9, 0), (44, 7, 7)]
[388, 'Cracker', (36, 10, 0), (36, 7, 7)]
[389, 'Cracker', (60, 10, 0), (59, 8, 7)]
[390, 'Cracker', (70, 10, 4), (67, 13, 7)]
[391, 'Sender', (28, 11, 0), (34, 5, 8)]
[392, 'Cracker', (46, 10, 1), (45, 7, 10)]
[393, 'Cracker', (57, 10, 3), (54, 10, 11)]
[394, 'Cracker', (39, 8, 0), (36, 5, 10)]
[395, 'Sender', (34, 11, 1), (39, 8, 8)]
[396, 'Sender', (42, 11, 1), (31, 5, 3)]
[397, 'Sender', (58, 11, 0), (53, 8, 12)]
[398, 'Cracker', (58, 10, 4), (57, 11, 8)]
[399, 'Cracker', (33, 9, 0), (26, 7, 5)]
[400, 'Cracker', (53, 9, 0), (60, 8, 11)]
[401, 'Sender', (53, 11, 2), (45, 8, 5)]
[402, 'Sender', (48, 11, 0), (58, 8, 9)]
[403, 'Sender', (29, 11, 0), (37, 6, 6)]
[404, 'Sender', (35, 11, 0), (36, 6, 10)]
[405, 'Cracker', (70, 10, 4), (68, 12, 13)]
[406, 'Sender', (31, 11, 0), (33, 5, 7)]
[407, 'Cracker', (60, 10, 1), (59, 8, 13)]
[408, 'Sender', (74, 11, 1), (76, 9, 10)]
[409, 'Cracker', (46, 10, 0), (46, 9, 6)]
[410, 'Sender', (75, 11, 1), (72, 8, 13)]
[411, 'Sender', (48, 11, 1), (57, 8, 7)]
[412, 'Sender', (89, 11, 4), (95, 12, 13)]
[413, 'Cracker', (90, 10, 2), (89, 10, 13)]
[414, 'Sender', (35, 11, 2), (28, 8, 6)]
[415, 'Sender', (49, 11, 2), (51, 9, 5)]
[416, 'Sender', (96, 11, 5), (89, 11, 9)]
[417, 'Sender', (48, 11, 0), (43, 7, 5)]
[418, 'Cracker', (29, 9, 0), (31, 8, 3)]
[419, 'Sender', (52, 11, 2), (53, 10, 6)]
[420, 'Cracker', (38, 6, 0), (41, 3, 11)]
[421, 'Cracker', (53, 9, 0), (52, 6, 11)]
[422, 'Cracker', (29, 9, 1), (31, 8, 4)]
[423, 'Cracker', (39, 10, 0), (41, 6, 7)]
[424, 'Cracker', (71, 10, 2), (68, 8, 11)]
[425, 'Cracker', (50, 8, 0), (50, 7, 9)]
[426, 'Cracker', (44, 9, 0), (51, 5, 9)]
[427, 'Sender', (40, 11, 0), (39, 7, 6)]
[428, 'Cracker', (36, 9, 1), (43, 8, 9)]
[429, 'Sender', (58, 11, 5), (63, 11, 5)]
[430, 'Cracker', (34, 9, 1), (35, 7, 7)]
[431, 'Sender', (39, 11, 0), (43, 7, 6)]
[432, 'Sender', (75, 11, 1), (82, 9, 14)]
[433, 'Cracker', (39, 9, 0), (35, 5, 7)]
[434, 'Cracker', (48, 9, 3), (40, 10, 5)]
[435, 'Cracker', (63, 10, 1), (64, 9, 12)]
[436, 'Sender', (71, 11, 1), (68, 9, 10)]
[437, 'Sender', (54, 11, 2), (53, 9, 9)]
[438, 'Cracker', (77, 10, 2), (81, 8, 14)]
[439, 'Cracker', (53, 9, 0), (49, 8, 8)]
[440, 'Sender', (39, 11, 2), (34, 8, 5)]
[441, 'Sender', (29, 11, 0), (30, 5, 7)]
[442, 'Cracker', (27, 8, 0), (30, 6, 7)]
[443, 'Cracker', (35, 9, 0), (38, 6, 9)]
[444, 'Sender', (40, 11, 1), (40, 8, 7)]
[445, 'Cracker', (43, 10, 0), (45, 9, 7)]
[446, 'Sender', (32, 11, 0), (20, 5, 5)]
[447, 'Sender', (61, 11, 1), (66, 8, 10)]
[448, 'Sender', (40, 11, 0), (41, 7, 4)]
[449, 'Sender', (63, 11, 1), (59, 10, 13)]
[450, 'Cracker', (64, 10, 1), (59, 8, 13)]
[451, 'Cracker', (28, 10, 0), (28, 6, 5)]
[452, 'Sender', (51, 11, 0), (51, 6, 9)]
[453, 'Cracker', (31, 8, 0), (27, 5, 6)]
[454, 'Sender', (53, 11, 0), (54, 7, 8)]
